"town","lon","lat"
"Banja Luka",17.191,44.7721811
"Banovici",18.5248551,44.4094788
"Bihac",15.8685645,44.8119628
"Bijeljina",19.2150224,44.7569511
"Bosanski Brod",18.058889,45.050278
"Bosanski Samac",18.4727919,45.0647537
"Breza",18.2612953,44.0181484
"Brcko",18.8106276,44.8726563
"Bugojno",17.4498275,44.0562486
"Cazin",15.9431582,44.9690446
"Derventa",17.9070412,44.9764185
"Doboj",18.0842548,44.7348727
"Donji Vakuf",17.398111,44.1440673
"Fojnica",17.8966344,43.9638288
"Gorazde",18.9748537,43.6685443
"Gornji Vakuf",17.5880463,43.9375436
"Gradacac",18.425887,44.8775521
"Gracanica",18.3104025,44.7051702
"Grude",17.4096253,43.3746502
"Ilidza",18.3002114,43.8314063
"Ilijas",18.2648525,43.9486183
"Jablanica",17.760399,43.6577331
"Jajce",17.2712934,44.3398061
"Jelah",17.9557436,44.6500125
"Kakanj",18.1178262,44.128014
"Kiseljak",18.0786274,43.9399783
"Kladanj",18.6918556,44.2246967
"Konjic",17.9590172,43.6536202
"Kotor Varos",17.3853591,44.6169086
"Laktasi",17.3014638,44.9064386
"Livno",17.0076892,43.8249858
"Ljubuski",17.5466671,43.1989428
"Lukavac",18.5337237,44.5336271
"Maglaj",18.1033619,44.5454847
"Mostar",17.8077578,43.3437748
"Novi Travnik",17.6634251,44.1748191
"Posusje",17.3296617,43.4719941
"Prijedor",16.7060617,44.9778368
"Prnjavor",17.6618242,44.8678652
"Sanski Most",16.664612,44.7639581
"Sarajevo",18.4130763,43.8562586
"Srebrenica",19.2997218,44.1039762
"Srebrenik",18.4918915,44.7074706
"Stolac",17.9592754,43.0851515
"Tesanj",17.9914718,44.6166027
"Travnik",17.7983732,47.7763208
"Trebinje",18.3502638,42.7081585
"Tuzla",18.6734688,44.5374611
"Velika Kladusa",15.8065454,45.1838373
"Visoko",18.1798837,43.9887651
"Vitez",17.7905271,44.150897
"Visegrad",18.9733392,47.7829694
"Zavidovici",18.1451051,44.4437217
"Zenica",17.9077432,44.2034392
"Zvornik",19.103209,44.3868886
"Siroki Brijeg",17.592739,43.3831419
"Zepce",18.0379461,44.428684
"Zivinice",18.6510559,44.4466286
"Capljina",17.7054838,43.1118267
"Celinac",17.3220709,44.724837
