"ID_3","name","ID_1","displays","clicks","displays_bots","clicks_bots","srdisplays","hrdisplays","bsdisplays","srclicks","hrclicks","bsclicks","population","majority","bosniaks","croats","serbs","other","turnout","bosniaks.prop","croats.prop","serbs.prop","other.prop","srclicks.share","hrclicks.share","bsclicks.share","majorityshare","majorityclickshare"
64,"Velika Kladuša",2,3535,40,14,0,1196,1219,1120,10,17,13,40419,"bs",32561,636,146,7076,0.324179,0.80559,0.01574,0.00361,0.17507,0.25,0.425,0.325,0.80559,0.325
61,"Cazin",2,18845,150,624,0,6279,6263,6303,54,40,56,66149,"bs",63463,320,29,2337,0.34451,0.95939,0.00484,0.00044,0.03533,0.36,0.26667,0.37333,0.95939,0.37333
57,"Bihać",2,35379,201,13002,83,11763,11781,11835,67,65,69,56261,"bs",49550,3265,910,2536,0.403441,0.88072,0.05803,0.01617,0.04508,0.33333,0.32338,0.34328,0.88072,0.34328
58,"Bosanska Krupa",2,1201,21,109,0,391,428,382,8,9,4,25545,"bs",23578,66,1260,641,0.395459,0.923,0.00258,0.04932,0.02509,0.38095,0.42857,0.19048,0.923,0.19048
60,"Bužim",2,603,6,0,0,194,210,199,2,2,2,19340,"bs",19207,8,1,124,0.373009,0.99312,0.00041,5e-05,0.00641,0.33333,0.33333,0.33333,0.99312,0.33333
59,"Bosanski Petrovac",2,1407,10,0,0,466,455,486,3,2,5,7328,"sr",3179,26,3996,127,0.289574,0.43382,0.00355,0.54531,0.01733,0.3,0.2,0.5,0.54531,0.3
63,"Sanski Most",2,1864,35,0,0,595,625,644,10,15,10,41475,"bs",38344,722,1837,572,0.262592,0.92451,0.01741,0.04429,0.01379,0.28571,0.42857,0.28571,0.92451,0.28571
6,"Drvar",2,228,1,1,0,77,69,82,0,0,1,7036,"sr",11,552,6420,53,0.40975,0.00156,0.07845,0.91245,0.00753,0,0,1,0.91245,0
62,"Ključ",2,6621,64,0,0,2158,2184,2278,16,26,22,16744,"bs",16130,30,273,311,0.334926,0.96333,0.00179,0.0163,0.01857,0.25,0.40625,0.34375,0.96333,0.34375
5,"Bosansko Grahovo",2,208,1,0,0,61,83,64,0,0,1,2449,"sr",6,393,2028,22,0.274806,0.00245,0.16047,0.82809,0.00898,0,0,1,0.82809,0
7,"Glamoč",2,2036,1,1,0,661,694,681,0,0,1,3860,"sr",1251,906,1679,24,0.363472,0.32409,0.23472,0.43497,0.00622,0,0,1,0.43497,0
9,"Livno",2,2792,13,172,2,902,926,964,7,4,2,34133,"hr",4047,29273,438,375,0.349574,0.11857,0.85762,0.01283,0.01099,0.53846,0.30769,0.15385,0.85762,0.30769
8,"Kupres (FBIH)",2,251,2,0,0,83,77,91,1,0,1,5057,"hr",255,4474,318,10,0.259047,0.05043,0.88471,0.06288,0.00198,0.5,0,0.5,0.88471,0
10,"Tomislavgrad",2,3109,14,0,0,1067,1018,1024,5,6,3,31592,"hr",2467,29006,22,97,0.247626,0.07809,0.91814,7e-04,0.00307,0.35714,0.42857,0.21429,0.91814,0.42857
29,"Prozor - Rama",2,604,10,0,0,176,213,215,3,1,6,14280,"hr",3525,10702,3,50,0.404902,0.24685,0.74944,0.00021,0.0035,0.3,0.1,0.6,0.74944,0.1
25,"Jablanica",2,2920,8,11,0,996,957,967,3,3,2,10111,"bs",9045,726,63,277,0.512214,0.89457,0.0718,0.00623,0.0274,0.375,0.375,0.25,0.89457,0.25
26,"Konjic",2,1669,19,1,0,559,572,538,4,7,8,25148,"bs",22486,1553,355,754,0.51189,0.89415,0.06175,0.01412,0.02998,0.21053,0.36842,0.42105,0.89415,0.42105
68,"Posušje",2,625,4,0,0,236,183,206,2,1,1,20477,"hr",2,20424,5,46,0.28134,1e-04,0.99741,0.00024,0.00225,0.5,0.25,0.25,0.99741,0.25
66,"Grude",2,1148,5,0,0,395,368,385,1,0,4,17308,"hr",3,17216,10,79,0.310781,0.00017,0.99468,0.00058,0.00456,0.2,0,0.8,0.99468,0
