"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,30,"BIH","Bosnia and Herzegovina",1,"Brcko",1,"Brcko",1,"Brcko",NA,"","Opcine","Commune","",""
2,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",2,"Bosnian Podrinje",2,"Foca-Ustikolina",NA,"","Opcine","Commune","",""
3,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",2,"Bosnian Podrinje",3,"Goražde",NA,"","Opcine","Commune","",""
4,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",2,"Bosnian Podrinje",4,"Pale-Praca",NA,"","Opcine","Commune","",""
5,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",5,"Bosansko Grahovo",NA,"","Opcine","Commune","",""
6,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",6,"Drvar",NA,"","Opcine","Commune","",""
7,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",7,"Glamoc",NA,"","Opcine","Commune","",""
8,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",8,"Kupres",NA,"","Opcine","Commune","",""
9,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",9,"Livno",NA,"","Opcine","Commune","",""
10,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",3,"Canton 10",10,"Tomislavgrad",NA,"","Opcine","Commune","",""
11,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",11,"Bugojno",NA,"","Opcine","Commune","",""
12,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",12,"Busovaca",NA,"","Opcine","Commune","",""
13,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",13,"Dobretici",NA,"","Opcine","Commune","",""
14,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",14,"Donji Vakuf",NA,"","Opcine","Commune","",""
15,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",15,"Fojnica",NA,"","Opcine","Commune","",""
16,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",16,"Gornji Vakuf-Uskoplje",NA,"","Opcine","Commune","",""
17,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",17,"Jajce",NA,"","Opcine","Commune","",""
18,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",18,"Kiseljak",NA,"","Opcine","Commune","",""
19,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",19,"Kreševo",NA,"","Opcine","Commune","",""
20,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",20,"Novi Travnik",NA,"","Opcine","Commune","",""
21,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",21,"Travnik",NA,"","Opcine","Commune","",""
22,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",4,"Central Bosnia",22,"Vitez",NA,"","Opcine","Commune","",""
23,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",23,"Capljina",NA,"","Opcine","Commune","",""
24,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",24,"Citluk",NA,"","Opcine","Commune","",""
25,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",25,"Jablanica",NA,"","Opcine","Commune","",""
26,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",26,"Konjic",NA,"","Opcine","Commune","",""
27,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",27,"Mostar",NA,"","Opcine","Commune","",""
28,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",28,"Neum",NA,"","Opcine","Commune","",""
29,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",29,"Prozor-Rama",NA,"","Opcine","Commune","",""
30,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",30,"Ravno",NA,"","Opcine","Commune","",""
31,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",5,"Herzegovina-Neretva",31,"Stolac",NA,"","Opcine","Commune","",""
32,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",6,"Posavina",32,"Domaljevac-Šamac",NA,"","Opcine","Commune","",""
33,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",6,"Posavina",33,"Odžak",NA,"","Opcine","Commune","",""
34,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",6,"Posavina",34,"Orašje",NA,"","Opcine","Commune","",""
35,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",35,"Centar Sarajevo",NA,"","Opcine","Commune","",""
36,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",36,"Hadžici",NA,"","Opcine","Commune","",""
37,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",37,"Ilidža",NA,"","Opcine","Commune","","Srpska Ilidža"
38,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",38,"Ilijaš",NA,"","Opcine","Commune","",""
39,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",39,"Novi Grad Sarajevo",NA,"","Opcine","Commune","",""
40,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",40,"Novo Sarajevo",NA,"","Opcine","Commune","",""
41,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",41,"Stari Grad Sarajevo",NA,"","Opcine","Commune","","Srpski Stari Grad"
42,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",42,"Trnovo",NA,"","Opcine","Commune","",""
43,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",43,"Vogošca",NA,"","Opcine","Commune","",""
44,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",44,"Živinice",NA,"","Opcine","Commune","",""
45,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",45,"Celic",NA,"","Opcine","Commune","",""
46,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",46,"Banovici",NA,"","Opcine","Commune","",""
47,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",47,"Doboj East",NA,"","Opcine","Commune","",""
48,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",48,"Gracanica",NA,"","Opcine","Commune","",""
49,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",49,"Gradacac",NA,"","Opcine","Commune","",""
50,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",50,"Kalesija",NA,"","Opcine","Commune","",""
51,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",51,"Kladanj",NA,"","Opcine","Commune","",""
52,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",52,"Lukavac",NA,"","Opcine","Commune","",""
53,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",53,"Sapna",NA,"","Opcine","Commune","",""
54,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",54,"Srebrenik",NA,"","Opcine","Commune","",""
55,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",55,"Teocak",NA,"","Opcine","Commune","",""
56,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",56,"Tuzla",NA,"","Opcine","Commune","",""
