"ID_3","NAME_3","total","validtotal","invalidtotal","bot.impressions","cleaned.impressions","bot.clicks","cleaned.clicks"
82,"Banja Luka",185042,94894,8628,4042,41027,1,232
46,"Banovići",22773,15459,708,0,301,0,4
128,"Berkovići",2114,1066,57,0,5,0,0
57,"Bihać",56261,22698,3044,5534,17302,31,128
102,"Bijeljina",107715,53007,5370,113,11708,0,96
129,"Bileća",10807,6595,645,0,495,0,5
83,"Bosanska Gradiška",51727,26966,1942,0,1711,0,18
84,"Bosanska Kostajnica",5977,2580,292,0,999,0,7
58,"Bosanska Krupa",25545,10102,1073,53,628,0,10
106,"Bosanski Brod",16619,5657,931,0,172,0,0
59,"Bosanski Petrovac",7328,2122,423,0,1333,0,9
5,"Bosansko Grahovo",2449,673,333,0,27,0,0
136,"Bratunac",20340,8081,1047,0,544,0,2
70,"Breza",14168,6446,813,0,410,0,9
1,"Brčko",83516,11352,681,4,17700,0,144
11,"Bugojno",31470,14426,1542,304,1163,1,12
12,"Busovača",17910,7727,832,0,846,0,9
60,"Bužim",19340,7214,611,0,152,0,5
61,"Cazin",66149,22789,2087,219,14482,0,78
35,"Centar Sarajevo",55181,30426,2071,38002,11358,281,63
107,"Derventa",27404,11774,1311,7,7999,0,37
108,"Doboj",71441,36862,3856,216,3838,2,67
47,"Doboj East",10248,5451,657,0,95,0,0
71,"Doboj South",4137,2305,232,0,5253,0,11
32,"Domaljevac-Šamac",4771,1362,320,0,273,0,0
14,"Donji Vakuf",13985,6028,1014,0,267,0,3
109,"Donji Žabar",3809,1187,100,0,1832,0,9
6,"Drvar",7036,2883,1101,1,202,0,1
85,"Dubica",21524,11494,1082,13,408,2,3
120,"East New Sarajevo",10642,6203,466,0,5428,0,39
15,"Fojnica",12356,5716,796,0,164,0,4
115,"Foča",18288,10277,877,0,828,0,15
2,"Foča-Ustikolina",1933,949,200,0,5,0,0
130,"Gacko",8990,5803,264,0,57,0,1
7,"Glamoč",3860,1403,575,0,1861,0,0
3,"Goražde",20897,10796,2314,405,1109,1,5
16,"Gornji Vakuf-Uskoplje",20933,9034,872,4,572,0,6
49,"Gradačac",39340,17715,1870,0,1452,0,14
48,"Gračanica",45220,20911,2630,117,1019,1,10
66,"Grude",17308,5379,494,0,607,0,0
36,"Hadžići",23891,11918,1142,0,1168,0,16
121,"Han Pijesak",3530,2106,151,0,346,0,1
37,"Ilidža",66730,30030,2440,242,10917,2,52
38,"Ilijaš",19603,9621,1086,0,1853,0,11
122,"Istočna Ilidža",14763,8661,669,0,2759,0,52
123,"Istočni Stari Grad",1131,801,38,0,163,0,1
25,"Jablanica",10111,5179,464,0,2617,0,4
17,"Jajce",27258,9750,1241,108,2280,3,18
87,"Jezero",1144,529,46,0,3,0,0
72,"Kakanj",37441,17871,1791,0,888,0,11
50,"Kalesija",33053,14307,1806,0,710,0,14
18,"Kiseljak",20722,7922,887,7,699,0,4
51,"Kladanj",12348,6010,706,0,846,0,13
62,"Ključ",16744,5608,592,0,6055,0,57
